HINT1
RABGGTA
YWHAE
KAT2B
SMAD5
WNT10B
WNT10B
CIB1
CYP1A1
TXK
TOP1
SRPK1
CXCR2
TIMP3
TIMP3
IL15
THBS4
RARRES1
RELA
IFIT5
MLANA
CEBPD
RFC2
RFC4
IL16
CRABP2
NTRK3
IL10RA
IL12RB1
PTGS2
TCEA1
RAB1A
PRLR
PLCG1
PLCG2
BDNF
M64936
RAB40AL
EDN2
PPP2R1B
THPO
GSTT2B
RABEPK
IRAK1
NR3C1
TRAC
ISG15
PDGFA
NCAM1
RPA2
GHRHR
KMT2A
RPS6KA1
TAF1
MAP2K2
RARG
EN2
GRK5
DTYMK
SLC20A2
TIGR: HG3432-HT3618
FGFR2
CD4
NRG1
CGB2
IFNAR1
CALM3
IL7
MMP15
PCDHB17
PRKAR2A
MOS
PSME2
IL3RA
GDF10
CDK8
ITPKA
PTPRO
PSMD12
UBE3A
ITGB1BP1
RCC1
ACTG2
GLI2
RAB33A
INHBA
D26528
CDK5
CDK6
TRAF6
ITGA1
CRADD
GSTZ1
RAB5B
CDK17
ADAM17
MTMR11
MAPK9
ERF
PAK2
PTPRS
POLR2H
GAB1
PRKDC
ZNF23
UBA1
SSX2B
EIF2S3
CDC34
AXL
MKNK2
MKNK2
GSTM5
AJ001487
CYP4F2
XPA
XPA
PSMB3
PSMD8
PSMB7
PTPN21
RAD9A
TRAF5
SERPINB3
PAX3
CDC25B
PCCA
S81294
ABI2
NTRK2
DAP3
TERF1
RXRB
FGFR2
CXCL8
CYP2B7P
TCF3
TCF3
NFKB1
RARB
RPA1
TGFBI
VDR
GHRH
MAP3K11
MAP3K11
TCEB1
NR2C1
D26561
NOS2
SLA
CYP2E1
EPHB3
TAF5
PSMD9
PSMB1
POSTN
LMO4
SMAD2
SMAD3
IFI16
JAK1
TBX5
NFKBIA
PTPN12
MIR483
MYBL1
PI4KB
POLD2
MYB
ITK
TSG101
MMP12
MMP12
CDH4
MYCL
CYP2A7
CYP2A6
FNTA
DDX39A
BRCA2
IL2RG
EDNRA
MAGI1
KLK3
FEN1
ETS1
IL1B
NME1
FGF8
N4BP2L1
N4BP2L2
FOXN3
EGFR
IL2
IFNA5
IFNA6
IL10
RBM5
SUMO1
PAK2
GRB2
IFNAR2
GPR19
RB1
IL4
TOP2B
CDC25C
IGFBP3
IFNAR2
DNAJB4
HRAS
FGF2
TEK
GAS6
VEGFC
PRKX
IGF2R
GHR
CDH3
XRCC1
CEACAM7
ESRRB
INS
MAPK4
PTPN18
MYBL1
IGFBP5
EPHA5
EPHA5
CDKN2B
MET
STAM
FGF9
TRIM25
RAB9BP1
CDC5L
RAP1GDS1
TIGR: HG2715-HT2811
TIGR: HG3175-HT3352
ABL1
ABL1
E2F5
ST13
MTA1
EIF3I
KISS1
BRAF
ABL1
UBE2N
IFNA1
VHL
WNT5A
TFDP1
IGFBP5
IGFBP5
GABRA2
EIF5
WT1-AS
SPHAR
MNAT1
DCHS1
ADK
TIMP1
HNRNPU
NEDD8
POLB
PTPRJ
MAP2K5
MAP2K5
E2F4
TOP1
MAP2K4
CDKN2A
TNFSF10
MSH3
MAD2L1
MAD2L1
BMI1
INPP5D
FGF4
IGFBP4
CDC25A
RET
ITSN2
DAXX
CYP3A7
CYP3A7
CYP3A7
PTPN7
PDGFRL
PMS2P5
CASP10
PDGFRB
FNTA
FNTB
MXD1
RIN1
STMN1
RIN2
KDM5A
DUSP4
SLC39A6
DTX2P1-UPK3BP1-PMS2P11
BARD1
CDK1
KLK3
MCF2
CDC7
PRKCD
PTPRH
MET
TGFBR2
TGFBR2
RAP2A
RAP2B
RAP2B
PCNA
FGF2
BMP5
RAN
RAN
TRIM27
MAP2K1
MAP2K4
LGALS8
RAP1A
APLNR
MLH1
TNF
TP53BP2
ATM
SKIL
CFLAR
PRKAA2
XPC
RAD23B
PMS2P3
RALA
ERCC1
MAP4K2
MDM2
MECOM
ERCC3
JUN
TGFBR3
PLAUR
RBL1
BCL2
NR4A3
GADD45A
APC
FOS
SKI
VAV1
RASGRF1
SMAD2
TAF7
ABCC3
ABCC4
ABCC5
VEGFC
CDK4
CCNB1
NOS2
ANGPT2
AZIN1
CASP4
NOS3
ARG1
NOS1
U18334
MAP2
TP53
FES
ETS1
RBL2
PDGFRA
PDGFRA
NME3
FHIT
XPA
PKN2
ATM
MSH6
JAK3
PTK2B
SKP1
PRKDC
MAP2K6
APEX1
S100A2
ARHGAP5
HSF2
ENO1
GATA2
MYB
BCR
JUNB
RAC1
MGMT
CDH2
FGFR1
LCK
HOXA4
BCL2
BAX
CTNNA1
CTSE
CDH12
PGBD3
PRKCQ
CDH1
CCKBR
CDH11
ERBB3
WNT4
DR1
